特征变量,特征变量中文,目标变量,目标变量中文,配对样本数,Spearman系数,Spearman显著性p值,Pearson系数,Pearson显著性p值,排名
平均相对湿度_28d,平均相对湿度_28d,gray_index,灰斑病病情指数,118,0.42727543690567865,1.3970326404810236e-06,0.32336685867011417,0.0003546328709483436,7
平均相对湿度_21d,平均相对湿度_21d,gray_index,灰斑病病情指数,118,0.3917943977519612,1.1471649098253434e-05,0.3003293022118466,0.0009521112673031225,8
平均短波辐射_28d,平均短波辐射_28d,gray_index,灰斑病病情指数,118,-0.36263211540472745,5.448407746602172e-05,-0.326817573617627,0.00030376554254030023,9
弱风日连续天数,弱风日连续天数,gray_index,灰斑病病情指数,118,0.3443575019444583,0.00013436099683151296,0.34487396578834956,0.00013107512059689892,10
平均风速_28d,平均风速_28d,blight_incidence,大斑病发病株率,121,0.4501702169389893,2.2118120682474987e-07,0.1587937609657001,0.0819194017387787,1
7天内高湿天数,7天内高湿天数,blight_incidence,大斑病发病株率,121,0.4405649810262468,4.258302161597338e-07,0.5583698362093696,2.8420209958286046e-11,2
平均相对湿度_21d,平均相对湿度_21d,blight_incidence,大斑病发病株率,121,0.4314408605547149,7.789415944064543e-07,0.42915938606706233,9.034345406058267e-07,3
平均相对湿度_14d,平均相对湿度_14d,blight_incidence,大斑病发病株率,121,0.4281780997629471,9.62604523435464e-07,0.40617696337226084,3.792413437329287e-06,4
平均相对湿度_28d,平均相对湿度_28d,blight_incidence,大斑病发病株率,121,0.42579280477916637,1.122170399616284e-06,0.45325247199462326,1.7848132453554733e-07,5
平均相对湿度_7d,平均相对湿度_7d,blight_incidence,大斑病发病株率,121,0.42233337061664283,1.39883038213188e-06,0.3927915450340739,8.33798744170649e-06,6
28天内高湿天数,28天内高湿天数,blight_incidence,大斑病发病株率,121,0.4108314498602705,2.860428425813912e-06,0.6394133586138955,2.9407901475609645e-15,7
累计降水_28d(mm),累计降水_28d(mm),blight_incidence,大斑病发病株率,121,0.394814227431671,7.4183311057034865e-06,0.2901827407919651,0.0012437929873249166,8
平均短波辐射_28d,平均短波辐射_28d,blight_incidence,大斑病发病株率,121,-0.3580010067517564,5.539928358753381e-05,-0.33482673647764793,0.00017416570887701112,9
连续高湿天数,连续高湿天数,blight_incidence,大斑病发病株率,121,0.34923545988178273,8.634381890892977e-05,0.40128431143675236,5.078075844295676e-06,10
平均风速_28d,平均风速_28d,blight_index,大斑病病情指数,121,0.44913032954110577,2.376679572591702e-07,0.10412243747995996,0.25572626462098197,1
7天内高湿天数,7天内高湿天数,blight_index,大斑病病情指数,121,0.4400532971849854,4.4070501888473747e-07,0.4643739752836317,8.086147497924689e-08,2
平均相对湿度_21d,平均相对湿度_21d,blight_index,大斑病病情指数,121,0.43018946008379894,8.450499339551713e-07,0.3364192066676655,0.00016143899474058674,3
平均相对湿度_14d,平均相对湿度_14d,blight_index,大斑病病情指数,121,0.4271266811928302,1.0300829822396449e-06,0.32130559151753146,0.0003263355310396653,4
