特征变量,特征变量中文,目标变量,目标变量中文,配对样本数,Spearman系数,Spearman显著性p值,Pearson系数,Pearson显著性p值
平均气温℃_28d,平均气温℃_28d,white_index,白斑病病情指数,120,-0.43646351022095453,6.247203256119395e-07,-0.3527283972163276,7.77350332829721e-05
24h温差℃,24h温差℃,gray_incidence,灰斑病发病株率,119,-0.042085602124811404,0.6495012180633942,-0.012154961969980109,0.8956169082890766
24h温差℃,24h温差℃,gray_index,灰斑病病情指数,118,-0.07742247598878382,0.40466298548615126,-0.09084488457056537,0.3279023220669623
24h温差℃,24h温差℃,blight_incidence,大斑病发病株率,121,-0.1525277633814656,0.09488429124315079,-0.1579601751442423,0.08355755565399627
24h温差℃,24h温差℃,blight_index,大斑病病情指数,121,-0.14551222211270307,0.1112705637239783,-0.05634524048897165,0.5393130685167731
24h温差℃,24h温差℃,white_incidence,白斑病发病株率,120,-0.11806143261458708,0.19905173227268624,-0.14217403022459985,0.12137770086963416
24h温差℃,24h温差℃,white_index,白斑病病情指数,120,-0.12490668390045935,0.17405400421376307,-0.12911634668522343,0.1598771620258236
平均相对湿度_21d,平均相对湿度_21d,gray_incidence,灰斑病发病株率,119,0.38713691548253465,1.3648797594870426e-05,0.35407724399677465,7.79792720077089e-05
平均相对湿度_21d,平均相对湿度_21d,gray_index,灰斑病病情指数,118,0.3917943977519612,1.1471649098253434e-05,0.3003293022118466,0.0009521112673031225
平均相对湿度_21d,平均相对湿度_21d,blight_incidence,大斑病发病株率,121,0.4314408605547149,7.789415944064543e-07,0.42915938606706233,9.034345406058267e-07
平均相对湿度_21d,平均相对湿度_21d,blight_index,大斑病病情指数,121,0.43018946008379894,8.450499339551713e-07,0.3364192066676655,0.00016143899474058674
平均相对湿度_21d,平均相对湿度_21d,white_incidence,白斑病发病株率,120,0.5110731318210261,2.4554258961976732e-09,0.4234398749599606,1.445056514774667e-06
平均相对湿度_21d,平均相对湿度_21d,white_index,白斑病病情指数,120,0.504373348903828,4.269700613376045e-09,0.3237768139687418,0.00030934293183592086
平均相对湿度_7d,平均相对湿度_7d,gray_incidence,灰斑病发病株率,119,0.2958860708956772,0.0010863858739788698,0.30053347017890186,0.000897125105503268
平均相对湿度_7d,平均相对湿度_7d,gray_index,灰斑病病情指数,118,0.2853276734783313,0.0017372065671479387,0.243732450603512,0.00782188365218343
平均相对湿度_7d,平均相对湿度_7d,blight_incidence,大斑病发病株率,121,0.42233337061664283,1.39883038213188e-06,0.3927915450340739,8.33798744170649e-06
平均相对湿度_7d,平均相对湿度_7d,blight_index,大斑病病情指数,121,0.4223511641062539,1.3972544674709745e-06,0.32871303479423936,0.000232183541063373
平均相对湿度_7d,平均相对湿度_7d,white_incidence,白斑病发病株率,120,0.4328120181435115,7.931108707477131e-07,0.3557181635237849,6.687723211732576e-05
平均相对湿度_7d,平均相对湿度_7d,white_index,白斑病病情指数,120,0.4270124549098833,1.1520901063006663e-06,0.2611596158807435,0.003963006671135015
平均相对湿度_14d,平均相对湿度_14d,gray_incidence,灰斑病发病株率,119,0.34184190216772686,0.00014181598067146165,0.3317852922408537,0.00022769091063576713
平均相对湿度_14d,平均相对湿度_14d,gray_index,灰斑病病情指数,118,0.3402292503635579,0.0001635145778145807,0.2721887162695975,0.0028659463893480125
平均相对湿度_14d,平均相对湿度_14d,blight_incidence,大斑病发病株率,121,0.4281780997629471,9.62604523435464e-07,0.40617696337226084,3.792413437329287e-06
平均相对湿度_14d,平均相对湿度_14d,blight_index,大斑病病情指数,121,0.4271266811928302,1.0300829822396449e-06,0.32130559151753146,0.0003263355310396653
平均相对湿度_14d,平均相对湿度_14d,white_incidence,白斑病发病株率,120,0.4948249383201451,9.204434419385178e-09,0.40194209803391173,5.354617290041607e-06
