病害类型,病害中文,特征变量,特征变量中文,基线均值RMSE,置换后均值RMSE,重要性增量RMSE,基线输出1_RMSE,基线输出2_RMSE,置换输出1_RMSE,置换输出2_RMSE,排名
gray,灰斑病,原始_24小时最大降水量,原始_24小时最大降水量,0.1059210654348135,0.10669810697436333,0.0007770415395498276,0.15260028839111328,0.05924184247851372,0.15196610987186432,0.061430104076862335,24
gray,灰斑病,原始_土壤湿度,原始_土壤湿度,0.1059210654348135,0.10649830102920532,0.0005772355943918228,0.15260028839111328,0.05924184247851372,0.15269535779953003,0.060301244258880615,25
gray,灰斑病,有效积温_GDD,有效积温_GDD,0.1059210654348135,0.10645915940403938,0.0005380939692258835,0.15260028839111328,0.05924184247851372,0.1515311300754547,0.061387188732624054,26
gray,灰斑病,累计降水_28d(mm),累计降水_28d(mm),0.1059210654348135,0.10632204823195934,0.0004009827971458435,0.15260028839111328,0.05924184247851372,0.1521124392747879,0.06053165718913078,27
gray,灰斑病,平均相对湿度_21d,平均相对湿度_21d,0.1059210654348135,0.10625511407852173,0.00033404864370822906,0.15260028839111328,0.05924184247851372,0.1539677232503891,0.05854250490665436,28
gray,灰斑病,连续低温天数,连续低温天数,0.1059210654348135,0.10617736540734768,0.0002562999725341797,0.15260028839111328,0.05924184247851372,0.15225659310817719,0.06009813770651817,29
gray,灰斑病,平均气温℃_28d,平均气温℃_28d,0.1059210654348135,0.10612352006137371,0.00020245462656021118,0.15260028839111328,0.05924184247851372,0.1505335122346878,0.061713527888059616,30
gray,灰斑病,寡照连续天数,寡照连续天数,0.1059210654348135,0.1059250496327877,3.984197974205017e-06,0.15260028839111328,0.05924184247851372,0.15261505544185638,0.059235043823719025,31
gray,灰斑病,原始_24小时最小降水量,原始_24小时最小降水量,0.1059210654348135,0.1059210654348135,0.0,0.15260028839111328,0.05924184247851372,0.15260028839111328,0.05924184247851372,32
gray,灰斑病,原始_短波辐射最小值,原始_短波辐射最小值,0.1059210654348135,0.1059210654348135,0.0,0.15260028839111328,0.05924184247851372,0.15260028839111328,0.05924184247851372,33
gray,灰斑病,是否弱风日,是否弱风日,0.1059210654348135,0.1059210654348135,0.0,0.15260028839111328,0.05924184247851372,0.15260028839111328,0.05924184247851372,34
gray,灰斑病,连续高温高湿天数,连续高温高湿天数,0.1059210654348135,0.1059210654348135,0.0,0.15260028839111328,0.05924184247851372,0.15260028839111328,0.05924184247851372,35
gray,灰斑病,连续适温高湿天数,连续适温高湿天数,0.1059210654348135,0.1059210654348135,0.0,0.15260028839111328,0.05924184247851372,0.15260028839111328,0.05924184247851372,36
gray,灰斑病,弱风日连续天数,弱风日连续天数,0.1059210654348135,0.1058644950389862,-5.6570395827293396e-05,0.15260028839111328,0.05924184247851372,0.1516517698764801,0.06007722020149231,37
gray,灰斑病,原始_相对湿度最大值,原始_相对湿度最大值,0.1059210654348135,0.10586250759661198,-5.855783820152283e-05,0.15260028839111328,0.05924184247851372,0.15246151387691498,0.059263501316308975,38
gray,灰斑病,连续高温天数,连续高温天数,0.1059210654348135,0.105564646422863,-0.00035641901195049286,0.15260028839111328,0.05924184247851372,0.15146508812904358,0.059664204716682434,39
gray,灰斑病,平均土壤相对湿度_7d,平均土壤相对湿度_7d,0.1059210654348135,0.10555123537778854,-0.00036983005702495575,0.15260028839111328,0.05924184247851372,0.15268754959106445,0.058414921164512634,40
gray,灰斑病,连续强降雨次数,连续强降雨次数,0.1059210654348135,0.10550753027200699,-0.0004135351628065109,0.15260028839111328,0.05924184247851372,0.15258793532848358,0.058427125215530396,41
gray,灰斑病,平均短波辐射_7d,平均短波辐射_7d,0.1059210654348135,0.10538874939084053,-0.0005323160439729691,0.15260028839111328,0.05924184247851372,0.15120385587215424,0.059573642909526825,42
gray,灰斑病,连续高湿天数,连续高湿天数,0.1059210654348135,0.10530452989041805,-0.0006165355443954468,0.15260028839111328,0.05924184247851372,0.1515340805053711,0.05907497927546501,43
gray,灰斑病,原始_2m气温最大值(℃),原始_2m气温最大值(℃),0.1059210654348135,0.10506677813827991,-0.0008542872965335846,0.15260028839111328,0.05924184247851372,0.14893850684165955,0.061195049434900284,44
gray,灰斑病,累计降水_14d(mm),累计降水_14d(mm),0.1059210654348135,0.10504509881138802,-0.0008759666234254837,0.15260028839111328,0.05924184247851372,0.15016500651836395,0.05992519110441208,45
gray,灰斑病,平均气温℃_7d,平均气温℃_7d,0.1059210654348135,0.10501899011433125,-0.000902075320482254,0.15260028839111328,0.05924184247851372,0.14848946034908295,0.061548519879579544,46
gray,灰斑病,7天内高湿天数,7天内高湿天数,0.1059210654348135,0.10493685863912106,-0.0009842067956924438,0.15260028839111328,0.05924184247851372,0.1499011516571045,0.05997256562113762,47
gray,灰斑病,原始_0-10cm土壤相对湿度,原始_0-10cm土壤相对湿度,0.1059210654348135,0.10481747053563595,-0.0011035948991775513,0.15260028839111328,0.05924184247851372,0.15034471452236176,0.05929022654891014,48
gray,灰斑病,28天内强降雨次数,28天内强降雨次数,0.1059210654348135,0.10476771742105484,-0.0011533480137586594,0.15260028839111328,0.05924184247851372,0.14883098006248474,0.06070445477962494,49
gray,灰斑病,原始_地表温度最小值(℃),原始_地表温度最小值(℃),0.1059210654348135,0.1047634482383728,-0.0011576171964406967,0.15260028839111328,0.05924184247851372,0.1481320559978485,0.061394840478897095,50
gray,灰斑病,原始_短波辐射最大值,原始_短波辐射最大值,0.1059210654348135,0.10443951562047005,-0.0014815498143434525,0.15260028839111328,0.05924184247851372,0.1491585224866867,0.05972050875425339,51
gray,灰斑病,28天内高湿天数,28天内高湿天数,0.1059210654348135,0.10441569983959198,-0.0015053655952215195,0.15260028839111328,0.05924184247851372,0.14734140038490295,0.061489999294281006,52
gray,灰斑病,原始_地面气压均值(kPa),原始_地面气压均值(kPa),0.1059210654348135,0.10431044735014439,-0.0016106180846691132,0.15260028839111328,0.05924184247851372,0.1475043147802353,0.06111657992005348,53
gray,灰斑病,平均土壤相对湿度_28d,平均土壤相对湿度_28d,0.1059210654348135,0.1042685229331255,-0.0016525425016880035,0.15260028839111328,0.05924184247851372,0.1489323079586029,0.05960473790764809,54
gray,灰斑病,连续降雨天数,连续降雨天数,0.1059210654348135,0.10422624088823795,-0.0016948245465755463,0.15260028839111328,0.05924184247851372,0.1478782594203949,0.06057422235608101,55
gray,灰斑病,7天内强降雨次数,7天内强降雨次数,0.1059210654348135,0.10421434417366982,-0.0017067212611436844,0.15260028839111328,0.05924184247851372,0.14829352498054504,0.060135163366794586,56
gray,灰斑病,原始_10m风速最大值,原始_10m风速最大值,0.1059210654348135,0.10409922525286674,-0.0018218401819467545,0.15260028839111328,0.05924184247851372,0.14812085032463074,0.06007760018110275,57
gray,灰斑病,平均风速_7d,平均风速_7d,0.1059210654348135,0.10406927205622196,-0.0018517933785915375,0.15260028839111328,0.05924184247851372,0.1496834009885788,0.05845514312386513,58
gray,灰斑病,28天最大单日降雨_mm,28天最大单日降雨_mm,0.1059210654348135,0.10389461368322372,-0.002026451751589775,0.15260028839111328,0.05924184247851372,0.1480417400598526,0.05974748730659485,59
gray,灰斑病,湿度日较差,湿度日较差,0.1059210654348135,0.10386650450527668,-0.0020545609295368195,0.15260028839111328,0.05924184247851372,0.14830106496810913,0.05943194404244423,60
gray,灰斑病,平均土壤相对湿度_21d,平均土壤相对湿度_21d,0.1059210654348135,0.10386008955538273,-0.002060975879430771,0.15260028839111328,0.05924184247851372,0.14877226948738098,0.058947909623384476,61
gray,灰斑病,原始_10m风速最小值,原始_10m风速最小值,0.1059210654348135,0.10357020609080791,-0.0023508593440055847,0.15260028839111328,0.05924184247851372,0.14702603220939636,0.06011437997221947,62
gray,灰斑病,原始_相对湿度最小值,原始_相对湿度最小值,0.1059210654348135,0.10338111966848373,-0.0025399457663297653,0.15260028839111328,0.05924184247851372,0.14559844136238098,0.06116379797458649,63
gray,灰斑病,平均短波辐射_28d,平均短波辐射_28d,0.1059210654348135,0.10328200273215771,-0.0026390627026557922,0.15260028839111328,0.05924184247851372,0.14710752665996552,0.0594564788043499,64
gray,灰斑病,生育期编码,生育期编码,0.1059210654348135,0.10322470963001251,-0.0026963558048009872,0.15260028839111328,0.05924184247851372,0.14279071986675262,0.0636586993932724,65
gray,灰斑病,累计降水_21d(mm),累计降水_21d(mm),0.1059210654348135,0.10307849012315273,-0.0028425753116607666,0.15260028839111328,0.05924184247851372,0.14857299625873566,0.05758398398756981,66
gray,灰斑病,累计降水_7d(mm),累计降水_7d(mm),0.1059210654348135,0.10078511387109756,-0.005135951563715935,0.15260028839111328,0.05924184247851372,0.14157649874687195,0.05999372899532318,67
