模式,点位编号,点位别名,点位名称,日期,记录编号,同日重复组编号,是否基线点,实际_灰斑病发病株率,实际_灰斑病病情指数,预测_灰斑病发病株率,预测_灰斑病病情指数,实际_灰斑病发病株率风险,预测_灰斑病发病株率风险,实际_灰斑病病情指数风险,预测_灰斑病病情指数风险,实际_综合风险,预测_综合风险,实际_大斑病发病株率,实际_大斑病病情指数,预测_大斑病发病株率,预测_大斑病病情指数,实际_大斑病发病株率风险,预测_大斑病发病株率风险,实际_大斑病病情指数风险,预测_大斑病病情指数风险,实际_白斑病发病株率,实际_白斑病病情指数,预测_白斑病发病株率,预测_白斑病病情指数,实际_白斑病发病株率风险,预测_白斑病发病株率风险,实际_白斑病病情指数风险,预测_白斑病病情指数风险
full_fit,3,S3 宝兴县,宝兴-1,2025-09-04,23,1,0,24.0,2.8888888888888893,30.512697219848633,3.027073621749878,低风险,中风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.010178460739552975,低风险,低风险,低风险,低风险,1.0,0.1111111111111111,0.551689863204956,0.06262288242578506,低风险,低风险,低风险,低风险
full_fit,3,S3 宝兴县,宝兴-2,2025-09-04,33,2,0,22.5,2.5,21.587284088134766,2.7162134647369385,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.010178460739552975,低风险,低风险,低风险,低风险,0.0,0.0,0.551689863204956,0.06262288242578506,低风险,低风险,低风险,低风险
full_fit,3,S3 宝兴县,宝兴-2,2025-09-04,42,3,0,50.0,5.555555555555555,42.40445327758789,5.305684566497803,中风险,中风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.010178460739552975,低风险,低风险,低风险,低风险,0.0,0.0,0.551689863204956,0.06262288242578506,低风险,低风险,低风险,低风险
full_fit,3,S3 宝兴县,宝兴-2,2025-09-04,51,4,0,70.0,7.777777777777778,57.418846130371094,7.703335762023926,中风险,中风险,低风险,低风险,高风险,高风险,0.0,0.0,0.0005756417522206903,0.009896860457956791,低风险,低风险,低风险,低风险,95.0,10.555555555555555,94.33829498291016,10.453351974487305,高风险,高风险,低风险,低风险
full_fit,3,S3 宝兴县,宝兴-1,2025-09-11,24,1,0,31.0,3.888888888888889,34.09032440185547,5.915159225463867,中风险,中风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.010795083828270435,低风险,低风险,低风险,低风险,2.0,0.6666666666666666,5.880323886871338,1.236716866493225,低风险,低风险,低风险,低风险
full_fit,3,S3 宝兴县,宝兴-2,2025-09-11,34,2,0,42.5,6.944444444444445,40.06275177001953,7.6149725914001465,中风险,中风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.010795083828270435,低风险,低风险,低风险,低风险,0.0,0.0,12.678512573242188,1.94720458984375,低风险,低风险,低风险,低风险
full_fit,3,S3 宝兴县,宝兴-2,2025-09-11,43,3,0,70.0,18.88888888888889,70.02409362792969,18.775405883789062,中风险,高风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.010795083828270435,低风险,低风险,低风险,低风险,30.0,3.3333333333333335,12.678512573242188,1.94720458984375,低风险,低风险,低风险,低风险
full_fit,3,S3 宝兴县,宝兴-2,2025-09-11,52,4,0,75.0,13.88888888888889,75.0086898803711,13.932782173156738,高风险,高风险,低风险,低风险,高风险,高风险,0.0,0.0,0.0005756417522206903,0.010731448419392109,低风险,低风险,低风险,低风险,100.0,33.33333333333333,99.95333862304688,33.42207717895508,高风险,高风险,中风险,中风险
full_fit,3,S3 宝兴县,宝兴-1,2025-09-18,25,1,0,42.0,8.0,45.4164924621582,8.264822959899902,中风险,中风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0017424768302589655,低风险,低风险,低风险,低风险,23.0,3.2222222222222223,23.821876525878906,3.611018419265747,低风险,低风险,低风险,低风险
full_fit,3,S3 宝兴县,宝兴-2,2025-09-18,35,2,0,55.0,12.777777777777777,54.87729263305664,13.884015083312988,中风险,中风险,低风险,低风险,中风险,中风险,0.0,0.0,0.0005756417522206903,0.0017424768302589655,低风险,低风险,低风险,低风险,57.5,8.61111111111111,36.64273452758789,6.064712047576904,中风险,中风险,低风险,低风险
full_fit,3,S3 宝兴县,宝兴-2,2025-09-18,44,3,0,90.0,36.666666666666664,90.2391586303711,36.22296142578125,高风险,高风险,中风险,中风险,中风险,中风险,0.0,0.0,0.0005756417522206903,0.0017424768302589655,低风险,低风险,低风险,低风险,70.0,18.88888888888889,69.84622192382812,18.87451934814453,中风险,中风险,低风险,低风险
full_fit,3,S3 宝兴县,宝兴-2,2025-09-18,53,4,0,97.5,23.61111111111111,97.2403793334961,24.010568618774414,高风险,高风险,低风险,低风险,高风险,高风险,0.0,0.0,0.0005756417522206903,0.0009509516530670226,低风险,低风险,低风险,低风险,100.0,55.55555555555556,100.0,55.5223388671875,高风险,高风险,中风险,中风险
full_fit,3,S3 宝兴县,宝兴-1,2025-09-29,26,1,0,60.0,15.777777777777777,59.73170852661133,15.493925094604492,中风险,中风险,低风险,低风险,高风险,高风险,0.0,0.0,0.0005756417522206903,0.00526629900559783,低风险,低风险,低风险,低风险,100.0,28.888888888888893,92.64285278320312,28.877662658691406,高风险,高风险,低风险,低风险
full_fit,3,S3 宝兴县,宝兴-2,2025-09-29,36,2,0,80.0,28.888888888888893,79.24732971191406,27.982934951782227,高风险,高风险,低风险,低风险,高风险,高风险,0.0,0.0,0.0005756417522206903,0.00526629900559783,低风险,低风险,低风险,低风险,100.0,37.22222222222222,100.0,35.39580154418945,高风险,高风险,中风险,中风险
full_fit,3,S3 宝兴县,宝兴-2,2025-09-29,45,3,0,90.0,50.0,95.24706268310547,50.19718933105469,高风险,高风险,中风险,中风险,高风险,高风险,0.0,0.0,0.0005756417522206903,0.00526629900559783,低风险,低风险,低风险,低风险,100.0,42.22222222222222,89.09379577636719,43.700050354003906,高风险,高风险,中风险,中风险
full_fit,3,S3 宝兴县,宝兴-2,2025-09-29,54,4,0,100.0,41.111111111111114,100.0,41.07146453857422,高风险,高风险,中风险,中风险,高风险,高风险,0.0,0.0,0.0005756417522206903,0.004529739264398813,低风险,低风险,低风险,低风险,100.0,80.0,100.0,79.97722625732422,高风险,高风险,高风险,高风险
full_fit,3,S3 宝兴县,宝兴-1,2025-10-09,27,1,0,73.0,25.0,72.93315887451172,25.339893341064453,高风险,高风险,低风险,低风险,高风险,高风险,0.0,0.0,0.0005756417522206903,0.004711661487817764,低风险,低风险,低风险,低风险,100.0,47.55555555555556,100.0,47.873748779296875,高风险,高风险,中风险,中风险
full_fit,3,S3 宝兴县,宝兴-2,2025-10-09,37,2,0,90.0,43.888888888888886,90.11424255371094,42.19618606567383,高风险,高风险,中风险,中风险,高风险,高风险,0.0,0.0,0.0005756417522206903,0.004711661487817764,低风险,低风险,低风险,低风险,100.0,57.777777777777786,100.0,57.971309661865234,高风险,高风险,中风险,中风险
full_fit,3,S3 宝兴县,宝兴-2,2025-10-09,46,3,0,100.0,64.44444444444444,100.0,64.48497009277344,高风险,高风险,中风险,中风险,高风险,高风险,0.0,0.0,0.0005756417522206903,0.004711661487817764,低风险,低风险,低风险,低风险,100.0,100.0,100.0,71.91332244873047,高风险,高风险,高风险,高风险
full_fit,3,S3 宝兴县,宝兴-2,2025-10-09,55,4,0,100.0,,100.0,55.64126205444336,高风险,高风险,,中风险,高风险,高风险,0.0,0.0,0.0005756417522206903,0.003984958864748478,低风险,低风险,低风险,低风险,100.0,100.0,100.0,100.0,高风险,高风险,高风险,高风险
full_fit,3,S3 宝兴县,宝兴-1,2025-10-20,28,1,0,,,86.43415832519531,40.569786071777344,,高风险,,中风险,高风险,高风险,0.0,0.0,0.0005756417522206903,0.007608496583998203,低风险,低风险,低风险,低风险,100.0,58.22222222222222,100.0,58.53178405761719,高风险,高风险,中风险,中风险
