点位编号,点位名称,日期,记录编号,品种集合,生育期标签,生育期编码,灰斑病发病株率,灰斑病病情指数,大斑病发病株率,大斑病病情指数,白斑病发病株率,白斑病病情指数,累计偏移天数,偏移记录数,同日重复组编号,原始_10m风速均值,原始_10m风速最大值,原始_10m风速最小值,原始_24小时最大降水量,原始_24小时最小降水量,原始_24小时降水量之和,原始_相对湿度均值,原始_相对湿度最大值,原始_相对湿度最小值,原始_2m气温均值(℃),原始_2m气温最大值(℃),原始_2m气温最小值(℃),原始_土壤湿度,原始_地表温度均值(℃),原始_地表温度最大值(℃),原始_地表温度最小值(℃),原始_地面气压均值(kPa),原始_地面气压最大值(kPa),原始_地面气压最小值(kPa),原始_短波辐射均值,原始_短波辐射最大值,原始_短波辐射最小值,原始_0-10cm土壤相对湿度,原始_5cm土壤温度(℃),有效积温_GDD,累计降水_7d(mm),累计降水_14d(mm),rain_21d_sum,rain_28d_sum,连续降雨天数,降雨间歇长度(天),平均气温℃_7d,平均气温℃_14d,平均气温℃_21d,temp_28d_mean,24h温差℃,平均相对湿度_7d,平均相对湿度_14d,平均相对湿度_21d,rh_28d_mean,湿度日较差,平均土壤相对湿度_7d,平均土壤相对湿度_14d,平均土壤相对湿度_21d,soil_rel_humidity_28d_mean,平均短波辐射_7d,radiation_28d_mean,平均风速_7d,wind_28d_mean,是否弱风日,弱风日连续天数,寡照连续天数,站点低温阈值(℃),站点高温阈值(℃),连续高温天数,连续低温天数,连续适温天数,连续高湿天数,连续较高湿度天数,7天内高湿天数,high_humidity_28d_count,7天内强降雨次数,heavy_rain_28d_count,连续强降雨次数,7天最大单日降雨_mm,max_single_day_rain_28d,连续高温高湿天数,连续适温高湿天数,连续弱风高湿天数
3,宝兴-2,2025-08-15,49,郑单958,VT,15.0,0.0,0.0,0.0,0.0,0.0,0.0,-365,1,4,0.27223941683769226,0.27223941683769226,0.27223941683769226,0.7061614394187927,0.0,1.8749656677246094,86.54859924316406,100.0,43.306209564208984,22.956300735473633,31.274499893188477,18.06777000427246,0.312240868806839,23.313400268554688,35.08531951904297,17.208759307861328,81.7579574584961,81.89904022216797,81.56456756591797,326.17828369140625,1055.3714599609375,0.0,75.27320098876953,22.98287010192871,846.7353515625,44.75067901611328,54.537925720214844,71.52548217773438,92.25520324707031,1.0,0.0,22.005802154541016,23.15254020690918,23.09429168701172,22.89237403869629,13.206729888916016,88.0326919555664,87.41648864746094,85.93672180175781,83.47469329833984,56.693790435791016,80.34539031982422,73.3949966430664,74.38140869140625,73.8191146850586,212.56179809570312,241.11105346679688,0.2768552005290985,0.6000438332557678,1.0,74.0,0.0,18.0,28.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,1.0,1.0,0.0,31.94119644165039,31.94119644165039,0.0,0.0,0.0
3,宝兴-1,2025-08-25,22,翔玉168,VT,15.0,4.0,0.4444444444444444,0.0,0.0,0.0,0.0,-365,1,1,0.7828554511070251,1.5600610971450806,0.13358640670776367,4.586023330688477,0.0,8.45287799835205,86.2226791381836,100.0,60.301658630371094,20.808439254760742,25.373380661010742,18.26889991760254,0.34790685772895813,21.4572696685791,26.314699172973633,17.981740951538086,84.82807922363281,84.92967224121094,84.75701141357422,151.20541381835938,603.5485229492188,0.0,83.87134552001953,21.422359466552734,961.0175170898438,31.856517791748047,62.428558349609375,114.82524871826172,127.7367172241211,1.0,0.0,21.222536087036133,21.717235565185547,22.193317413330078,22.64456558227539,7.104480743408203,82.71990966796875,84.81895446777344,86.29893493652344,86.05596160888672,39.698341369628906,85.25890350341797,82.3121109008789,79.07567596435547,77.37998962402344,186.60523986816406,226.5077667236328,0.6498320698738098,0.48965221643447876,1.0,84.0,0.0,18.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,12.60641098022461,31.94119644165039,0.0,0.0,0.0
3,宝兴-2,2025-08-25,32,白K888,VT,15.0,0.0,0.0,0.0,0.0,0.0,0.0,-365,1,2,0.7828554511070251,1.5600610971450806,0.13358640670776367,4.586023330688477,0.0,8.45287799835205,86.2226791381836,100.0,60.301658630371094,20.808439254760742,25.373380661010742,18.26889991760254,0.34790685772895813,21.4572696685791,26.314699172973633,17.981740951538086,84.82807922363281,84.92967224121094,84.75701141357422,151.20541381835938,603.5485229492188,0.0,83.87134552001953,21.422359466552734,961.0175170898438,31.856517791748047,62.428558349609375,114.82524871826172,127.7367172241211,1.0,0.0,21.222536087036133,21.717235565185547,22.193317413330078,22.64456558227539,7.104480743408203,82.71990966796875,84.81895446777344,86.29893493652344,86.05596160888672,39.698341369628906,85.25890350341797,82.3121109008789,79.07567596435547,77.37998962402344,186.60523986816406,226.5077667236328,0.6498320698738098,0.48965221643447876,1.0,84.0,0.0,18.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,12.60641098022461,31.94119644165039,0.0,0.0,0.0
3,宝兴-2,2025-08-25,41,内玉9018,VT,15.0,10.0,1.1111111111111112,0.0,0.0,0.0,0.0,-365,1,3,0.7828554511070251,1.5600610971450806,0.13358640670776367,4.586023330688477,0.0,8.45287799835205,86.2226791381836,100.0,60.301658630371094,20.808439254760742,25.373380661010742,18.26889991760254,0.34790685772895813,21.4572696685791,26.314699172973633,17.981740951538086,84.82807922363281,84.92967224121094,84.75701141357422,151.20541381835938,603.5485229492188,0.0,83.87134552001953,21.422359466552734,961.0175170898438,31.856517791748047,62.428558349609375,114.82524871826172,127.7367172241211,1.0,0.0,21.222536087036133,21.717235565185547,22.193317413330078,22.64456558227539,7.104480743408203,82.71990966796875,84.81895446777344,86.29893493652344,86.05596160888672,39.698341369628906,85.25890350341797,82.3121109008789,79.07567596435547,77.37998962402344,186.60523986816406,226.5077667236328,0.6498320698738098,0.48965221643447876,1.0,84.0,0.0,18.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,12.60641098022461,31.94119644165039,0.0,0.0,0.0
3,宝兴-2,2025-08-25,50,郑单958,R1,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-365,1,4,0.7828554511070251,1.5600610971450806,0.13358640670776367,4.586023330688477,0.0,8.45287799835205,86.2226791381836,100.0,60.301658630371094,20.808439254760742,25.373380661010742,18.26889991760254,0.34790685772895813,21.4572696685791,26.314699172973633,17.981740951538086,84.82807922363281,84.92967224121094,84.75701141357422,151.20541381835938,603.5485229492188,0.0,83.87134552001953,21.422359466552734,961.0175170898438,31.856517791748047,62.428558349609375,114.82524871826172,127.7367172241211,1.0,0.0,21.222536087036133,21.717235565185547,22.193317413330078,22.64456558227539,7.104480743408203,82.71990966796875,84.81895446777344,86.29893493652344,86.05596160888672,39.698341369628906,85.25890350341797,82.3121109008789,79.07567596435547,77.37998962402344,186.60523986816406,226.5077667236328,0.6498320698738098,0.48965221643447876,1.0,84.0,0.0,18.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,12.60641098022461,31.94119644165039,0.0,0.0,0.0
3,宝兴-1,2025-09-04,23,翔玉168,R1,16.0,24.0,2.8888888888888893,0.0,0.0,1.0,0.1111111111111111,-365,1,1,0.7403608560562134,1.9420415163040161,0.060731906443834305,0.25225216150283813,0.0,0.25225216150283813,81.89234161376953,100.0,51.7965202331543,20.950899124145508,27.383359909057617,17.5433292388916,0.35036084055900574,21.26042938232422,28.623249053955078,17.304349899291992,84.49115753173828,84.64344024658203,84.26194763183594,168.30845642089844,633.875244140625,0.0,84.46293640136719,20.946199417114258,1045.712890625,9.948732376098633,145.45668029785156,194.9436798095703,239.10931396484375,1.0,0.0,18.28543472290039,19.19790267944336,20.092090606689453,20.62826156616211,9.840030670166016,85.62187957763672,86.32623291015625,86.45569610595703,86.85420227050781,48.2034797668457,88.7077865600586,88.87864685058594,86.59061431884766,84.6507568359375,164.18310546875,185.98509216308594,0.5925679206848145,0.4901515543460846,1.0,94.0,0.0,18.0,28.0,0.0,0.0,0.0,0.0,3.0,2.0,7.0,0.0,3.0,0.0,7.691068172454834,66.72351837158203,0.0,0.0,0.0
3,宝兴-2,2025-09-04,33,白K888,R1,16.0,22.5,2.5,0.0,0.0,0.0,0.0,-365,1,2,0.7403608560562134,1.9420415163040161,0.060731906443834305,0.25225216150283813,0.0,0.25225216150283813,81.89234161376953,100.0,51.7965202331543,20.950899124145508,27.383359909057617,17.5433292388916,0.35036084055900574,21.26042938232422,28.623249053955078,17.304349899291992,84.49115753173828,84.64344024658203,84.26194763183594,168.30845642089844,633.875244140625,0.0,84.46293640136719,20.946199417114258,1045.712890625,9.948732376098633,145.45668029785156,194.9436798095703,239.10931396484375,1.0,0.0,18.28543472290039,19.19790267944336,20.092090606689453,20.62826156616211,9.840030670166016,85.62187957763672,86.32623291015625,86.45569610595703,86.85420227050781,48.2034797668457,88.7077865600586,88.87864685058594,86.59061431884766,84.6507568359375,164.18310546875,185.98509216308594,0.5925679206848145,0.4901515543460846,1.0,94.0,0.0,18.0,28.0,0.0,0.0,0.0,0.0,3.0,2.0,7.0,0.0,3.0,0.0,7.691068172454834,66.72351837158203,0.0,0.0,0.0
3,宝兴-2,2025-09-04,42,内玉9018,R1,16.0,50.0,5.555555555555555,0.0,0.0,0.0,0.0,-365,1,3,0.7403608560562134,1.9420415163040161,0.060731906443834305,0.25225216150283813,0.0,0.25225216150283813,81.89234161376953,100.0,51.7965202331543,20.950899124145508,27.383359909057617,17.5433292388916,0.35036084055900574,21.26042938232422,28.623249053955078,17.304349899291992,84.49115753173828,84.64344024658203,84.26194763183594,168.30845642089844,633.875244140625,0.0,84.46293640136719,20.946199417114258,1045.712890625,9.948732376098633,145.45668029785156,194.9436798095703,239.10931396484375,1.0,0.0,18.28543472290039,19.19790267944336,20.092090606689453,20.62826156616211,9.840030670166016,85.62187957763672,86.32623291015625,86.45569610595703,86.85420227050781,48.2034797668457,88.7077865600586,88.87864685058594,86.59061431884766,84.6507568359375,164.18310546875,185.98509216308594,0.5925679206848145,0.4901515543460846,1.0,94.0,0.0,18.0,28.0,0.0,0.0,0.0,0.0,3.0,2.0,7.0,0.0,3.0,0.0,7.691068172454834,66.72351837158203,0.0,0.0,0.0
3,宝兴-2,2025-09-04,51,郑单958,R2,17.0,70.0,7.777777777777778,0.0,0.0,95.0,10.555555555555555,-365,1,4,0.7403608560562134,1.9420415163040161,0.060731906443834305,0.25225216150283813,0.0,0.25225216150283813,81.89234161376953,100.0,51.7965202331543,20.950899124145508,27.383359909057617,17.5433292388916,0.35036084055900574,21.26042938232422,28.623249053955078,17.304349899291992,84.49115753173828,84.64344024658203,84.26194763183594,168.30845642089844,633.875244140625,0.0,84.46293640136719,20.946199417114258,1045.712890625,9.948732376098633,145.45668029785156,194.9436798095703,239.10931396484375,1.0,0.0,18.28543472290039,19.19790267944336,20.092090606689453,20.62826156616211,9.840030670166016,85.62187957763672,86.32623291015625,86.45569610595703,86.85420227050781,48.2034797668457,88.7077865600586,88.87864685058594,86.59061431884766,84.6507568359375,164.18310546875,185.98509216308594,0.5925679206848145,0.4901515543460846,1.0,94.0,0.0,18.0,28.0,0.0,0.0,0.0,0.0,3.0,2.0,7.0,0.0,3.0,0.0,7.691068172454834,66.72351837158203,0.0,0.0,0.0
3,宝兴-1,2025-09-11,24,翔玉168,R2,17.0,31.0,3.888888888888889,0.0,0.0,2.0,0.6666666666666666,-365,1,1,0.8134461641311646,2.984232187271118,0.15179845690727234,2.6860365867614746,0.0,4.818117618560791,86.07009887695312,100.0,56.22690963745117,19.587820053100586,25.30537986755371,16.643550872802734,0.37081485986709595,20.00472068786621,26.651330947875977,16.298030853271484,84.69734954833984,84.88096618652344,83.88349151611328,162.15745544433594,627.6813354492188,0.0,89.39387512207031,19.772899627685547,1103.4368896484375,54.690513610839844,64.63924407958984,200.14720153808594,249.63417053222656,3.0,0.0,18.24627113342285,18.265851974487305,18.880691528320312,19.630634307861328,8.661828994750977,86.81272888183594,86.2173080444336,86.48839569091797,86.54493713378906,43.77309036254883,89.22090148925781,88.96435546875,88.99273681640625,87.24817657470703,146.37303161621094,172.85499572753906,0.6128248572349548,0.566599428653717,1.0,101.0,0.0,18.0,28.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,2.0,0.0,21.731229782104492,66.72351837158203,0.0,0.0,0.0
3,宝兴-2,2025-09-11,34,白K888,R2,17.0,42.5,6.944444444444445,0.0,0.0,0.0,0.0,-365,1,2,0.8134461641311646,2.984232187271118,0.15179845690727234,2.6860365867614746,0.0,4.818117618560791,86.07009887695312,100.0,56.22690963745117,19.587820053100586,25.30537986755371,16.643550872802734,0.37081485986709595,20.00472068786621,26.651330947875977,16.298030853271484,84.69734954833984,84.88096618652344,83.88349151611328,162.15745544433594,627.6813354492188,0.0,89.39387512207031,19.772899627685547,1103.4368896484375,54.690513610839844,64.63924407958984,200.14720153808594,249.63417053222656,3.0,0.0,18.24627113342285,18.265851974487305,18.880691528320312,19.630634307861328,8.661828994750977,86.81272888183594,86.2173080444336,86.48839569091797,86.54493713378906,43.77309036254883,89.22090148925781,88.96435546875,88.99273681640625,87.24817657470703,146.37303161621094,172.85499572753906,0.6128248572349548,0.566599428653717,1.0,101.0,0.0,18.0,28.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,2.0,0.0,21.731229782104492,66.72351837158203,0.0,0.0,0.0
3,宝兴-2,2025-09-11,43,内玉9018,R2,17.0,70.0,18.88888888888889,0.0,0.0,30.0,3.3333333333333335,-365,1,3,0.8134461641311646,2.984232187271118,0.15179845690727234,2.6860365867614746,0.0,4.818117618560791,86.07009887695312,100.0,56.22690963745117,19.587820053100586,25.30537986755371,16.643550872802734,0.37081485986709595,20.00472068786621,26.651330947875977,16.298030853271484,84.69734954833984,84.88096618652344,83.88349151611328,162.15745544433594,627.6813354492188,0.0,89.39387512207031,19.772899627685547,1103.4368896484375,54.690513610839844,64.63924407958984,200.14720153808594,249.63417053222656,3.0,0.0,18.24627113342285,18.265851974487305,18.880691528320312,19.630634307861328,8.661828994750977,86.81272888183594,86.2173080444336,86.48839569091797,86.54493713378906,43.77309036254883,89.22090148925781,88.96435546875,88.99273681640625,87.24817657470703,146.37303161621094,172.85499572753906,0.6128248572349548,0.566599428653717,1.0,101.0,0.0,18.0,28.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,2.0,0.0,21.731229782104492,66.72351837158203,0.0,0.0,0.0
3,宝兴-2,2025-09-11,52,郑单958,R3,18.0,75.0,13.88888888888889,0.0,0.0,100.0,33.33333333333333,-365,1,4,0.8134461641311646,2.984232187271118,0.15179845690727234,2.6860365867614746,0.0,4.818117618560791,86.07009887695312,100.0,56.22690963745117,19.587820053100586,25.30537986755371,16.643550872802734,0.37081485986709595,20.00472068786621,26.651330947875977,16.298030853271484,84.69734954833984,84.88096618652344,83.88349151611328,162.15745544433594,627.6813354492188,0.0,89.39387512207031,19.772899627685547,1103.4368896484375,54.690513610839844,64.63924407958984,200.14720153808594,249.63417053222656,3.0,0.0,18.24627113342285,18.265851974487305,18.880691528320312,19.630634307861328,8.661828994750977,86.81272888183594,86.2173080444336,86.48839569091797,86.54493713378906,43.77309036254883,89.22090148925781,88.96435546875,88.99273681640625,87.24817657470703,146.37303161621094,172.85499572753906,0.6128248572349548,0.566599428653717,1.0,101.0,0.0,18.0,28.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,2.0,0.0,21.731229782104492,66.72351837158203,0.0,0.0,0.0
