病害类型,病害中文,特征变量,特征变量中文,基线均值RMSE,置换后均值RMSE,重要性增量RMSE,基线输出1_RMSE,基线输出2_RMSE,置换输出1_RMSE,置换输出2_RMSE,排名
blight,大斑病,连续强降雨次数,连续强降雨次数,0.02428738819435239,0.02463400922715664,0.0003466210328042507,0.01169047225266695,0.03688430413603783,0.011690817773342133,0.037577200680971146,13
blight,大斑病,平均相对湿度_7d,平均相对湿度_7d,0.02428738819435239,0.024569750297814608,0.00028236210346221924,0.01169047225266695,0.03688430413603783,0.011856299825012684,0.03728320077061653,14
blight,大斑病,平均土壤相对湿度_21d,平均土壤相对湿度_21d,0.02428738819435239,0.024561527650803328,0.0002741394564509392,0.01169047225266695,0.03688430413603783,0.011635414324700832,0.03748764097690582,15
blight,大斑病,原始_短波辐射均值,原始_短波辐射均值,0.02428738819435239,0.02450271276757121,0.00021532457321882248,0.01169047225266695,0.03688430413603783,0.011671113781630993,0.03733431175351143,16
blight,大斑病,原始_10m风速最小值,原始_10m风速最小值,0.02428738819435239,0.024369997903704643,8.260970935225487e-05,0.01169047225266695,0.03688430413603783,0.011807188391685486,0.0369328074157238,17
blight,大斑病,原始_10m风速最大值,原始_10m风速最大值,0.02428738819435239,0.02435972262173891,7.233442738652229e-05,0.01169047225266695,0.03688430413603783,0.011836471036076546,0.036882974207401276,18
blight,大斑病,平均相对湿度_21d,平均相对湿度_21d,0.02428738819435239,0.024357348680496216,6.996048614382744e-05,0.01169047225266695,0.03688430413603783,0.011790931224822998,0.036923766136169434,19
blight,大斑病,连续弱风高湿天数,连续弱风高湿天数,0.02428738819435239,0.02433747611939907,5.008792504668236e-05,0.01169047225266695,0.03688430413603783,0.011705134063959122,0.03696981817483902,20
blight,大斑病,7天内强降雨次数,7天内强降雨次数,0.02428738819435239,0.02433447213843465,4.708394408226013e-05,0.01169047225266695,0.03688430413603783,0.011799880303442478,0.03686906397342682,21
blight,大斑病,平均风速_7d,平均风速_7d,0.02428738819435239,0.024322230368852615,3.4842174500226974e-05,0.01169047225266695,0.03688430413603783,0.011662609875202179,0.03698185086250305,22
blight,大斑病,连续高湿天数,连续高湿天数,0.02428738819435239,0.024307890329509974,2.0502135157585144e-05,0.01169047225266695,0.03688430413603783,0.011700027622282505,0.03691575303673744,23
