病害类型,病害中文,特征变量,特征变量中文,基线均值RMSE,置换后均值RMSE,重要性增量RMSE,基线输出1_RMSE,基线输出2_RMSE,置换输出1_RMSE,置换输出2_RMSE,排名
white,白斑病,平均土壤相对湿度_7d,平均土壤相对湿度_7d,0.14783263951539993,0.14835981279611588,0.0005271732807159424,0.20637765526771545,0.08928762376308441,0.2075035572052002,0.08921606838703156,25
white,白斑病,原始_土壤湿度,原始_土壤湿度,0.14783263951539993,0.1482701264321804,0.0004374869167804718,0.20637765526771545,0.08928762376308441,0.20952478051185608,0.08701547235250473,26
white,白斑病,连续高湿天数,连续高湿天数,0.14783263951539993,0.1482631377875805,0.00043049827218055725,0.20637765526771545,0.08928762376308441,0.20693954825401306,0.08958672732114792,27
white,白斑病,平均相对湿度_28d,平均相对湿度_28d,0.14783263951539993,0.1481458880007267,0.00031324848532676697,0.20637765526771545,0.08928762376308441,0.20651628077030182,0.08977549523115158,28
white,白斑病,连续适温天数,连续适温天数,0.14783263951539993,0.14812535792589188,0.00029271841049194336,0.20637765526771545,0.08928762376308441,0.20705057680606842,0.08920013904571533,29
white,白斑病,原始_地面气压最小值(kPa),原始_地面气压最小值(kPa),0.14783263951539993,0.14812351018190384,0.00029087066650390625,0.20637765526771545,0.08928762376308441,0.20505928993225098,0.0911877304315567,30
white,白斑病,原始_短波辐射最小值,原始_短波辐射最小值,0.14783263951539993,0.14783263951539993,0.0,0.20637765526771545,0.08928762376308441,0.20637765526771545,0.08928762376308441,31
white,白斑病,是否弱风日,是否弱风日,0.14783263951539993,0.14783263951539993,0.0,0.20637765526771545,0.08928762376308441,0.20637765526771545,0.08928762376308441,32
white,白斑病,连续高温高湿天数,连续高温高湿天数,0.14783263951539993,0.14783263951539993,0.0,0.20637765526771545,0.08928762376308441,0.20637765526771545,0.08928762376308441,33
white,白斑病,连续适温高湿天数,连续适温高湿天数,0.14783263951539993,0.14783263951539993,0.0,0.20637765526771545,0.08928762376308441,0.20637765526771545,0.08928762376308441,34
white,白斑病,原始_24小时最小降水量,原始_24小时最小降水量,0.14783263951539993,0.14783207699656487,-5.62518835067749e-07,0.20637765526771545,0.08928762376308441,0.20637726783752441,0.08928688615560532,35
white,白斑病,原始_短波辐射最大值,原始_短波辐射最大值,0.14783263951539993,0.1477450169622898,-8.762255311012268e-05,0.20637765526771545,0.08928762376308441,0.20197224617004395,0.09351778775453568,36
white,白斑病,原始_相对湿度均值,原始_相对湿度均值,0.14783263951539993,0.1477091945707798,-0.00012344494462013245,0.20637765526771545,0.08928762376308441,0.20716117322444916,0.08825721591711044,37
white,白斑病,平均相对湿度_7d,平均相对湿度_7d,0.14783263951539993,0.14770420268177986,-0.0001284368336200714,0.20637765526771545,0.08928762376308441,0.2071961760520935,0.08821222931146622,38
white,白斑病,原始_相对湿度最大值,原始_相对湿度最大值,0.14783263951539993,0.1476849727332592,-0.0001476667821407318,0.20637765526771545,0.08928762376308441,0.20664644241333008,0.08872350305318832,39
white,白斑病,连续强降雨次数,连续强降雨次数,0.14783263951539993,0.14750229194760323,-0.00033034756779670715,0.20637765526771545,0.08928762376308441,0.2067953199148178,0.08820926398038864,40
white,白斑病,平均相对湿度_21d,平均相对湿度_21d,0.14783263951539993,0.14747368544340134,-0.0003589540719985962,0.20637765526771545,0.08928762376308441,0.20441745221614838,0.0905299186706543,41
white,白斑病,原始_地面气压均值(kPa),原始_地面气压均值(kPa),0.14783263951539993,0.14728669449687004,-0.000545945018529892,0.20637765526771545,0.08928762376308441,0.20578283071517944,0.08879055827856064,42
white,白斑病,连续弱风高湿天数,连续弱风高湿天数,0.14783263951539993,0.14712682366371155,-0.000705815851688385,0.20637765526771545,0.08928762376308441,0.2063039243221283,0.0879497230052948,43
white,白斑病,累计降水_7d(mm),累计降水_7d(mm),0.14783263951539993,0.14658067747950554,-0.001251962035894394,0.20637765526771545,0.08928762376308441,0.20912355184555054,0.08403780311346054,44
white,白斑病,降雨间歇长度(天),降雨间歇长度(天),0.14783263951539993,0.14652322605252266,-0.0013094134628772736,0.20637765526771545,0.08928762376308441,0.20129556953907013,0.09175088256597519,45
white,白斑病,原始_相对湿度最小值,原始_相对湿度最小值,0.14783263951539993,0.14614878222346306,-0.0016838572919368744,0.20637765526771545,0.08928762376308441,0.20404808223247528,0.08824948221445084,46
