模型,病害,评估目标,排名,主排序指标,feature,xgb_imp,spearman_corr,perm_imp,shap_imp
白斑病_index,白斑病,病情指数,9,shap_imp,21天内高湿80天数,0.12678675,0.534371361613534,0.0067956701085249,0.6734776
白斑病_index,白斑病,病情指数,10,shap_imp,过去7天最低气温_C,0.04073074,-0.2606333832041432,0.0109997159824261,0.5909915
白斑病_index,白斑病,病情指数,11,shap_imp,2m比湿平均值(kg/kg),0.011554229,-0.2683951398035018,-0.0019356096362085,0.5770917
白斑病_index,白斑病,病情指数,12,shap_imp,累计降水_21d,0.051637877,0.1454547813685555,-0.0156965121829276,0.5075789
白斑病_index,白斑病,病情指数,13,shap_imp,弱风日连续天数,0.026870929,0.3218869551603118,0.0004446375065076,0.4605998
白斑病_index,白斑病,病情指数,14,shap_imp,平均气温C_7d,0.0052122,-0.4085032712741151,0.0231142432008435,0.42997518
白斑病_index,白斑病,病情指数,15,shap_imp,平均气温C_14d,0.011760788,-0.4263082250305823,0.0094258233342652,0.41719538
白斑病_index,白斑病,病情指数,16,shap_imp,10m风速最大值(m/s),0.0037808602,0.1652890311400083,-0.0012442780288332,0.3493523
白斑病_index,白斑病,病情指数,17,shap_imp,10m风速最小值(m/s),0.0038675754,-0.1539258487147178,-0.0049854364605864,0.29740965
白斑病_index,白斑病,病情指数,18,shap_imp,21天内高湿90天数,0.0062491503,0.4493779814256358,0.0035230274785361,0.26549417
白斑病_index,白斑病,病情指数,19,shap_imp,平均风速_7d,0.014446135,-0.0192894703067596,0.012603801705677,0.2643818
白斑病_index,白斑病,病情指数,20,shap_imp,2m比湿最小值(kg/kg),0.0055805263,-0.2207144527811451,0.0050484904777026,0.25951877
